Product Link,Product Image,Product Brand,Product Title,Product Content,Product Rating Score,Product Price
/ahi-sultan/form-kahvesi-8-farkli-kahve-ve-spirulina-icerikli-100-g-p-848195880?boutiqueId=61&merchantId=968246,https://cdn.dsmcdn.com/ty1571/prod/QC/20240926/11/87d02816-2831-348d-90d8-0d8b4949518b/1_org.jpg,AHİ SULTAN,Form Kahvesi 8,Farklı Kahve Ve Spirulina Içerikli 100 G,4.4,"326,78 TL"
/vita-ceel/cilt-vitamini-cignenebilir-vegan-gummy-hyaluronic-acid-vitamin-c-glutatyon-q10-ala-biotin-p-752354106?boutiqueId=61&merchantId=106368,https://cdn.dsmcdn.com/ty1582/product/media/images/prod/PIM/20241013/20/3809cbaf-1495-4ef1-8cd7-7010dc7d2471/1_org.jpg,Vita Ceel,Cilt Vitamini,"Çiğnenebilir Vegan Gummy, Hyaluronic Acid, Vitamin C, Glutatyon, Q10, Ala, Biotin",4.2,"336,20 TL"
/the-ceel/cilt-beyazlatici-aydinlatici-glutatyonlu-leke-karsiti-krem-kolajen-niacinamide-kojik-asitli-50-ml-p-708199579?boutiqueId=61&merchantId=791156,https://cdn.dsmcdn.com/ty1570/product/media/images/prod/PIM/20240926/14/00830fa6-26d8-461e-a335-b8d178c5796b/1_org.jpg,The Ceel,Cilt Beyazlatıcı,"Aydınlatıcı Glutatyonlu Leke Karşıtı Krem Kolajen, Niacinamide & Kojik Asitli 50 ml",4.1,"200,98 TL"
/vully/24k-altin-parcacikli-arindirici-nemlendirici-gozenek-sikilastirici-yuz-temizleme-jeli-200-ml-p-696721509?boutiqueId=61&merchantId=929505,https://cdn.dsmcdn.com/ty1590/prod/QC/20241023/13/c0f5adcf-155c-3e61-b0b0-1e7ea7c85541/1_org.jpg,VULLY,24k Altın Parçacıklı,Arındırıcı Nemlendirici Gözenek Sıkılaştırıcı Yüz Temizleme Jeli 200 Ml,4.7,299 TL
/fv/palazzo-pantolon-oversize-orjinal-kesim-p-652719507?boutiqueId=61&merchantId=745036,https://cdn.dsmcdn.com/ty1555/product/media/images/ty1555/prod/QC/20240918/08/45d518a4-10a7-3c1a-9aa8-588ddc2ace46/1_org.jpg,FV,Palazzo Pantolon Oversize,Orjinal Kesim,4.3,333 TL
/harmana/hindiba-kahvesi-detox-kahve-1-aylik-60-kullanim-net-150gr-p-288620006?boutiqueId=61&merchantId=583275,https://cdn.dsmcdn.com/ty1604/product/media/images/prod/PIM/20241118/21/a0c371e6-685f-4d03-af04-316fa3c766cb/1_org.jpg,HARMANA,Hindiba Kahvesi Detox,Kahve 1 Aylık - (60 KULLANIM) Net 150gr,4.3,269 TL
/pure-beauty/bb-krem-spf50-pa-ivory-30-ml-4894532999781-p-225876328?boutiqueId=61&merchantId=1051186,https://cdn.dsmcdn.com/ty1546/product/media/images/ty1546/prod/QC/20240915/13/0bab9d9e-b097-3c28-803c-217651fdcec9/1_org.jpg,PURE BEAUTY,Bb Krem Spf50 Pa,Ivory 30 ml - 4894532999781,4.6,293 TL
/twinkle/twinkle-tavuklu-yetiskin-kedi-mamasi-10-kg-10-in-1-p-860720886?boutiqueId=61&merchantId=722696,https://cdn.dsmcdn.com/ty1567/product/media/images/ty1568/prod/QC/20240923/17/fd568917-a80e-35bf-8676-01b8559e4bdd/1_org.jpg,TWİNKLE,Twinkle Tavuklu,Yetişkin Kedi Maması 10 Kg. (10 in 1),5.0,"606,82 TL"
/bella-notte/cicek-baskili-uzun-kollu-pamuk-viskon-pijama-takimi-p-857816523?boutiqueId=61&merchantId=549751,https://cdn.dsmcdn.com/ty1536/product/media/images/ty1537/prod/QC/20240912/11/34b34752-fad6-36b3-a50c-85791502b359/1_org.jpg,BELLA NOTTE,Çiçek Baskılı,Uzun Kollu Pamuk - Viskon Pijama Takımı,4.3,"470,17 TL"
/kitchen-life/14-parca-6-kisilik-stackable-guz-yaprak-kahvalti-takimi-lux-kahvaltilik-sunum-seti-tabagi-p-669721600?boutiqueId=61&merchantId=208222,https://cdn.dsmcdn.com/ty1522/product/media/images/prod/QC/20240903/11/858d7f8c-1fa6-3872-b122-285611725297/1_org.jpg,Kitchen Life,14 Parça 6,Kişilik Stackable Güz Yaprak Kahvaltı Takımı - Lüx Kahvaltılık Sunum Seti Tabağı,4.6,"639,90 TL"
/soel-parfum/narkotik-edp-100-ml-erkek-parfum-p-694924525?boutiqueId=61&merchantId=410513,https://cdn.dsmcdn.com/ty1414/product/media/images/prod/QC/20240711/11/eeb01221-39c5-36a1-970b-9b23698514c9/1_org.jpg,Soel Parfüm,Narkotik Edp 100,ml Erkek Parfüm,4.3,748 TL
/clasy-care/face-up-skin-sivilce-kremi-40-p-782969121?boutiqueId=61&merchantId=553542,https://cdn.dsmcdn.com/ty1398/product/media/images/prod/QC/20240704/11/f21c30bc-8d51-3bbe-8d8b-685a0a30a9ae/1_org.jpg,Clasy Care,Face Up Skin,Sivilce Kremi 40,4.2,"175,16 TL"
/embeauty/kolajen-ve-keratin-sac-dokulmesine-karsi-hizli-sac-uzatan-dolgunlastirici-onarici-besleyici-sampuan-p-776827526?boutiqueId=61&merchantId=852527,https://cdn.dsmcdn.com/ty1586/prod/QC/20241016/00/0f7192e8-b96e-38fb-a863-9ebecd4834be/1_org.jpg,Embeauty,Kolajen Ve Keratin,Saç Dökülmesine Karşı Hızlı Sac Uzatan Dolgunlaştırıcı Onarıcı Besleyici Şampuan,4.3,"224,40 TL"
/vita-ceel/magnezyum-complex-ve-collagen-tip-1-3-iceren-bisglisinat-malat-sitrat-b6-p-786455502?boutiqueId=61&merchantId=106368,https://cdn.dsmcdn.com/ty1591/product/media/images/prod/PIM/20241024/13/79eb3fa2-4d78-4f52-9434-d01962db63e9/1_org.jpg,Vita Ceel,Magnezyum Complex,"Ve Collagen Tip 1, 3 Içeren Bisglisinat, Malat, Sitrat, B6",4.3,"461,06 TL"
/she-vec/glyc-alright-tum-ciltler-icin-gozenek-sikilastirici-leke-karsiti-tonik-200ml-p-208525561?boutiqueId=61&merchantId=391189,https://cdn.dsmcdn.com/ty1550/product/media/images/ty1548/prod/QC/20240916/11/7684bd5a-5f53-3baf-bccb-160dc5e89dfe/1_org.jpg,SHE VEC,GLYC- ALRIGHT - Tüm,Ciltler İçin Gözenek Sıkılaştırıcı Leke Karşıtı Tonik 200ml,4.6,"239,18 TL"
/matt-notebook/2025-yili-haftalik-kare-ajanda-12-aylik-p-863650012?boutiqueId=61&merchantId=113478,https://cdn.dsmcdn.com/ty1579/prod/QC/20241004/13/9c9dd307-91ae-3ab3-99d5-0e4bb280b6dc/1_org.jpg,Matt Notebook,2025 Yılı,Haftalık Kare Ajanda - 12 Aylık,5.0,316 TL
/tree-world/konfeksiyon-elbise-askilik-iki-rafli-148-x-106-cm-p-333186871?boutiqueId=61&merchantId=116498,https://cdn.dsmcdn.com/ty494/product/media/images/20220728/19/151558562/531211341/1/1_org.jpg,Tree World,Konfeksiyon Elbise,Askılık Iki Raflı 148 X 106 Cm,3.3,343 TL
/evonox/clean-3-adet-camasir-yun-kece-kurutma-topu-30ml-esans-koku-hediye-dogal-ve-cevre-dostu-p-863696615?boutiqueId=61&merchantId=104754,https://cdn.dsmcdn.com/ty1580/prod/QC/20241004/18/dce8cf79-b568-3df1-81c5-9b223ce7fe48/1_org.jpg,Evonox,Clean 3 Adet Çamaşır,Yün Keçe Kurutma Topu + 30ml Esans Koku Hediye - Doğal ve Çevre Dostu,4.0,"443,17 TL"
/dr-phytopharma/omega-3-epa-dha-ve-vitamin-e-iceren-60-adet-cignenebilir-soft-jel-kapsul-form-1000-mg-p-863629371?boutiqueId=61&merchantId=1004192,https://cdn.dsmcdn.com/ty1607/prod/QC/20241122/09/90f7fb96-51a4-3d2e-82d6-6d47e6fe5871/1_org.jpg,Dr Phytopharma,Omega-3 Epa,Dha ve Vitamin E İçeren 60 adet Çiğnenebilir Soft Jel Kapsül Form 1000 mg,5.0,"289,55 TL"
/juvera-cosmeceuticals/glikolik-asit-icerikli-gozenek-sikilastirici-arindirici-ve-kararma-karsiti-tonik-200ml-p-195744175?boutiqueId=61&merchantId=135081,https://cdn.dsmcdn.com/ty1610/prod/QC/20241205/11/7120ed73-fb24-37a0-a940-61547e28f8b7/1_org.jpg,JUVERA Cosmeceuticals,,Glikolik Asit Içerikli Gözenek Sıkılaştırıcı Arındırıcı Ve Kararma Karşıtı Tonik 200ml,4.4,"299,90 TL"
/arydent/dis-temizleme-jeli-10-ml-p-238690117?boutiqueId=61&merchantId=753805,https://cdn.dsmcdn.com/ty1533/product/media/images/prod/QC/20240909/16/abcee17b-fb11-3309-9304-043a631bd24a/1_org.jpg,arydent,Diş Temizleme Jeli 10,ml,3.9,"243,56 TL"
/pink-bear/siyah-nokta-akne-ve-sivilce-maskesi-40-gr-p-833571599?boutiqueId=61&merchantId=977880,https://cdn.dsmcdn.com/ty1525/product/media/images/prod/QC/20240905/00/bacf7497-e562-38e7-84e0-1d96df6fd2ca/1_org.jpg,Pink Bear,"Siyah Nokta, Akne",Ve Sivilce Maskesi 40 Gr,4.3,"84,09 TL"
/tilvess/fiyonklu-kurdele-detayli-triko-ceket-hirka-p-847289400?boutiqueId=61&merchantId=927400,https://cdn.dsmcdn.com/ty1552/product/media/images/ty1552/prod/QC/20240917/14/b513bec2-3901-3618-a323-8d16aaabae62/1_org.jpg,tilvess,Fiyonklu Kurdele,Detaylı Triko Ceket Hırka,4.2,399 TL
/capone-outfitters/kalin-tabanli-yuvarlak-burunlu-bagcikli-kurklu-kadin-bot-p-867620023?boutiqueId=61&merchantId=186466,https://cdn.dsmcdn.com/ty1593/prod/QC/20241029/18/7b76c262-cf83-3628-a2fa-9ea1478d02d0/1_org.jpg,Capone Outfitters,Kalın,Tabanlı Yuvarlak Burunlu Bağcıklı Kürklü Kadın Bot,4.4,"626,92 TL"
